userid	genesymbol	genename	entrezgene
IRX4	IRX4	iroquois homeobox 4	50805
PAX7	PAX7	paired box 7	5081
MAGEC2	MAGEC2	MAGE family member C2	51438
VGLL1	VGLL1	vestigial like family member 1	51442
PADI3	PADI3	peptidyl arginine deiminase 3	51702
CALML5	CALML5	calmodulin like 5	51806
SERPINB5	SERPINB5	serpin family B member 5	5268
PIP	PIP	prolactin induced protein	5304
FXYD4	FXYD4	FXYD domain containing ion transport regulator 4	53828
KRT20	KRT20	keratin 20	54474
CRCT1	CRCT1	cysteine rich C-terminal 1	54544
UGT1A10	UGT1A10	UDP glucuronosyltransferase family 1 member A10	54575
UGT1A8	UGT1A8	UDP glucuronosyltransferase family 1 member A8	54576
UGT1A7	UGT1A7	UDP glucuronosyltransferase family 1 member A7	54577
UGT1A1	UGT1A1	UDP glucuronosyltransferase family 1 member A1	54658
UGT1A3	UGT1A3	UDP glucuronosyltransferase family 1 member A3	54659
ARHGEF38	ARHGEF38	Rho guanine nucleotide exchange factor 38	54848
BARX1	BARX1	BARX homeobox 1	56033
GSDMC	GSDMC	gasdermin C	56169
KLK7	KLK7	kallikrein related peptidase 7	5650
KLK6	KLK6	kallikrein related peptidase 6	5653
AKR1B10	AKR1B10	aldo-keto reductase family 1 member B10	57016
PGLYRP4	PGLYRP4	peptidoglycan recognition protein 4	57115
SLURP1	SLURP1	secreted LY6/PLAUR domain containing 1	57152
NKX3-2	NKX3-2	NK3 homeobox 2	579
PTPRN	PTPRN	protein tyrosine phosphatase, receptor type N	5798
OVOL2	OVOL2	ovo like zinc finger 2	58495
CACNG7	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7	59284
CACNG6	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6	59285
ROS1	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	6098
S100A7	S100A7	S100 calcium binding protein A7	6278
SERPINB3	SERPINB3	serpin family B member 3	6317
SERPINB4	SERPINB4	serpin family B member 4	6318
CCL7	CCL7	C-C motif chemokine ligand 7	6354
CCL11	CCL11	C-C motif chemokine ligand 11	6356
FAM25A	FAM25A	family with sequence similarity 25 member A	643161
PHGR1	PHGR1	proline, histidine and glycine rich 1	644844
PLA2G2F	PLA2G2F	phospholipase A2 group IIF	64600
SHOX2	SHOX2	short stature homeobox 2	6474
SI	SI	sucrase-isomaltase	6476
SIM1	SIM1	single-minded family bHLH transcription factor 1	6492
UCA1	UCA1	urothelial cancer associated 1 (non-protein coding)	652995
LGALS7B	LGALS7B	galectin 7B	653499
SFTPA1	SFTPA1	surfactant protein A1	653509
SLN	SLN	sarcolipin	6588
SOX11	SOX11	SRY-box 11	6664
SPRR1A	SPRR1A	small proline rich protein 1A	6698
SPRR1B	SPRR1B	small proline rich protein 1B	6699
SPRR2G	SPRR2G	small proline rich protein 2G	6706
SRMS	SRMS	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	6725
SST	SST	somatostatin	6750
TFF1	TFF1	trefoil factor 1	7031
MAGEA9B	MAGEA9B	MAGE family member A9B	728269
SCGB1A1	SCGB1A1	secretoglobin family 1A member 1	7356
UGT2B4	UGT2B4	UDP glucuronosyltransferase family 2 member B4	7363
UGT2B15	UGT2B15	UDP glucuronosyltransferase family 2 member B15	7366
ZIC2	ZIC2	Zic family member 2	7546
PSAPL1	PSAPL1	prosaposin-like 1 (gene/pseudogene)	768239
CACNG1	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1	786
ARL14	ARL14	ADP ribosylation factor like GTPase 14	80117
MOGAT2	MOGAT2	monoacylglycerol O-acyltransferase 2	80168
ADAMTS12	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	81792
NETO1	NETO1	neuropilin and tolloid like 1	81832
TEKT1	TEKT1	tektin 1	83659
LCE3D	LCE3D	late cornified envelope 3D	84648
BARX2	BARX2	BARX homeobox 2	8538
ZIC5	ZIC5	Zic family member 5	85416
LY6D	LY6D	lymphocyte antigen 6 family member D	8581
TNFSF11	TNFSF11	tumor necrosis factor superfamily member 11	8600
SERPINB7	SERPINB7	serpin family B member 7	8710
SCEL	SCEL	sciellin	8796
CDK5R2	CDK5R2	cyclin dependent kinase 5 regulatory subunit 2	8941
SYT8	SYT8	synaptotagmin 8	90019
FAM181A	FAM181A	family with sequence similarity 181 member A	90050
ANKRD30A	ANKRD30A	ankyrin repeat domain 30A	91074
KRT75	KRT75	keratin 75	9119
ISX	ISX	intestine specific homeobox	91464
CAPN13	CAPN13	calpain 13	92291
LEMD1	LEMD1	LEM domain containing 1	93273
SLC22A6	SLC22A6	solute carrier family 22 member 6	9356
ADIPOQ	ADIPOQ	adiponectin, C1Q and collagen domain containing	9370
MAGEC1	MAGEC1	MAGE family member C1	9947
FGFBP1	FGFBP1	fibroblast growth factor binding protein 1	9982
