userid	genesymbol	genename	entrezgene
KCNQ3	KCNQ3	potassium voltage-gated channel subfamily Q member 3	3786
ILDR2	ILDR2	immunoglobulin like domain containing receptor 2	387597
SHISA6	SHISA6	shisa family member 6	388336
FRRS1	FRRS1	ferric chelate reductase 1	391059
RGS7BP	RGS7BP	regulator of G-protein signaling 7 binding protein	401190
RAB19	RAB19	RAB19, member RAS oncogene family	401409
SMAD9	SMAD9	SMAD family member 9	4093
MMP16	MMP16	matrix metallopeptidase 16	4325
ZNF727	ZNF727	zinc finger protein 727	442319
NFATC2	NFATC2	nuclear factor of activated T-cells 2	4773
ROR1	ROR1	receptor tyrosine kinase like orphan receptor 1	4919
DDR2	DDR2	discoidin domain receptor tyrosine kinase 2	4921
P2RX7	P2RX7	purinergic receptor P2X 7	5027
P2RY1	P2RY1	purinergic receptor P2Y1	5028
PAK3	PAK3	p21 (RAC1) activated kinase 3	5063
SHANK1	SHANK1	SH3 and multiple ankyrin repeat domains 1	50944
GCNT4	GCNT4	glucosaminyl (N-acetyl) transferase 4, core 2	51301
PDE1C	PDE1C	phosphodiesterase 1C	5137
PDE3A	PDE3A	phosphodiesterase 3A	5139
ATP8A2	ATP8A2	ATPase phospholipid transporting 8A2	51761
PIK3CG	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	5294
ADAM22	ADAM22	ADAM metallopeptidase domain 22	53616
GPR173	GPR173	G protein-coupled receptor 173	54328
LAX1	LAX1	lymphocyte transmembrane adaptor 1	54900
TTC22	TTC22	tetratricopeptide repeat domain 22	55001
KIF26B	KIF26B	kinesin family member 26B	55083
AVPR1A	AVPR1A	arginine vasopressin receptor 1A	552
KIRREL	KIRREL	kin of IRRE like (Drosophila)	55243
PRR11	PRR11	proline rich 11	55771
PRKG1	PRKG1	protein kinase, cGMP-dependent, type I	5592
PCDHGC5	PCDHGC5	protocadherin gamma subfamily C, 5	56097
PCDHGC4	PCDHGC4	protocadherin gamma subfamily C, 4	56098
PCDHGB7	PCDHGB7	protocadherin gamma subfamily B, 7	56099
PCDHGB6	PCDHGB6	protocadherin gamma subfamily B, 6	56100
PCDHGB5	PCDHGB5	protocadherin gamma subfamily B, 5	56101
PCDHGB2	PCDHGB2	protocadherin gamma subfamily B, 2	56103
PCDHGB1	PCDHGB1	protocadherin gamma subfamily B, 1	56104
PCDHGA10	PCDHGA10	protocadherin gamma subfamily A, 10	56106
PCDHGA9	PCDHGA9	protocadherin gamma subfamily A, 9	56107
PCDHGA7	PCDHGA7	protocadherin gamma subfamily A, 7	56108
PCDHGA4	PCDHGA4	protocadherin gamma subfamily A, 4	56111
PCDHGA3	PCDHGA3	protocadherin gamma subfamily A, 3	56112
PCDHGA2	PCDHGA2	protocadherin gamma subfamily A, 2	56113
PCDHB11	PCDHB11	protocadherin beta 11	56125
PCDHB8	PCDHB8	protocadherin beta 8	56128
PCDHAC2	PCDHAC2	protocadherin alpha subfamily C, 2	56134
SERTAD4	SERTAD4	SERTA domain containing 4	56256
PROX1	PROX1	prospero homeobox 1	5629
SUCNR1	SUCNR1	succinate receptor 1	56670
ARNTL2	ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2	56938
STOX2	STOX2	storkhead box 2	56977
CYSLTR2	CYSLTR2	cysteinyl leukotriene receptor 2	57105
ADAMTSL3	ADAMTSL3	ADAMTS like 3	57188
PTAFR	PTAFR	platelet activating factor receptor	5724
GRAMD1B	GRAMD1B	GRAM domain containing 1B	57476
RNF150	RNF150	ring finger protein 150	57484
SORCS2	SORCS2	sortilin related VPS10 domain containing receptor 2	57537
ZNF471	ZNF471	zinc finger protein 471	57573
RAB27B	RAB27B	RAB27B, member RAS oncogene family	5874
SALL2	SALL2	spalt like transcription factor 2	6297
SCN8A	SCN8A	sodium voltage-gated channel alpha subunit 8	6334
CLSPN	CLSPN	claspin	63967
FAM110C	FAM110C	family with sequence similarity 110 member C	642273
KIAA0754	KIAA0754	KIAA0754	643314
FAM83G	FAM83G	family with sequence similarity 83 member G	644815
EBF2	EBF2	early B-cell factor 2	64641
WNK3	WNK3	WNK lysine deficient protein kinase 3	65267
SOX5	SOX5	SRY-box 5	6660
BRCA2	BRCA2	BRCA2, DNA repair associated	675
CDKL5	CDKL5	cyclin dependent kinase like 5	6792
BTC	BTC	betacellulin	685
TP73	TP73	tumor protein p73	7161
GXYLT2	GXYLT2	glucoside xylosyltransferase 2	727936
GATSL2	GATSL2	GATS protein like 2	729438
WNT9A	WNT9A	Wnt family member 9A	7483
ZBTB16	ZBTB16	zinc finger and BTB domain containing 16	7704
ZNF154	ZNF154	zinc finger protein 154	7710
CACNA2D1	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	781
ULBP3	ULBP3	UL16 binding protein 3	79465
LONRF3	LONRF3	LON peptidase N-terminal domain and ring finger 3	79836
DNAJC22	DNAJC22	DnaJ heat shock protein family (Hsp40) member C22	79962
CSRNP3	CSRNP3	cysteine and serine rich nuclear protein 3	80034
BICC1	BICC1	BicC family RNA binding protein 1	80114
PREX2	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	80243
ADAMTS12	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	81792
EPPK1	EPPK1	epiplakin 1	83481
BRIP1	BRIP1	BRCA1 interacting protein C-terminal helicase 1	83990
DOC2B	DOC2B	double C2 domain beta	8447
MICALCL	MICALCL	MICAL C-terminal like	84953
ITGA8	ITGA8	integrin subunit alpha 8	8516
COL27A1	COL27A1	collagen type XXVII alpha 1 chain	85301
RUNX1T1	RUNX1T1	RUNX1 translocation partner 1	862
UNC5C	UNC5C	unc-5 netrin receptor C	8633
PCDHGB4	PCDHGB4	protocadherin gamma subfamily B, 4	8641
TNFSF14	TNFSF14	tumor necrosis factor superfamily member 14	8740
TNFRSF10C	TNFRSF10C	TNF receptor superfamily member 10c	8794
CD84	CD84	CD84 molecule	8832
SNURF	SNURF	SNRPN upstream reading frame	8926
BSN	BSN	bassoon presynaptic cytomatrix protein	8927
ARHGAP11B	ARHGAP11B	Rho GTPase activating protein 11B	89839
ZNF835	ZNF835	zinc finger protein 835	90485
ZNF486	ZNF486	zinc finger protein 486	90649
SLC16A6	SLC16A6	solute carrier family 16 member 6	9120
KCNQ4	KCNQ4	potassium voltage-gated channel subfamily Q member 4	9132
SLC16A7	SLC16A7	solute carrier family 16 member 7	9194
SLIT2	SLIT2	slit guidance ligand 2	9353
ADAMTS2	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	9509
CCDC144A	CCDC144A	coiled-coil domain containing 144A	9720
NOS1AP	NOS1AP	nitric oxide synthase 1 adaptor protein	9722
TNFSF15	TNFSF15	tumor necrosis factor superfamily member 15	9966
