algorithm	0	1	2	3	4	5	minimum_rank_avg	min_node_zscore	avg_recon_dist	seed	noise	sample_size	num_genes	data_file
adage	3.2439999999999998	3.32	3.315	3.273333333333333	3.29	2.94	3.227666666666667	0.21239289068884015	4.786813899578389	876672	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.3119999999999998	1.088	1.185	1.02	1.0	1.0	1.0586	0.7518653163704574	4.044788407541496	876672	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.9	1.765	1.34	1.22	1.02	1.4489999999999998	0.5411342891955033	4.044803653557933	876672	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.645	1.413333333333333	1.5	1.4	1.4228666666666665	-0.8173753967520251	4.044934437071014	876672	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	3.0	1.136	1.43	1.3	1.26	1.0	1.2251999999999998	1.2676754480774164	4.048027879184237	37241	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	3.252	3.284	3.345	3.293333333333333	3.3	3.3	3.3044666666666664	1.4685868005659326	4.789669667356757	37241	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.3559999999999999	1.08	1.17	1.0533333333333332	1.01	1.02	1.0666666666666669	0.8559891882295099	4.0447859973124265	37241	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.9	1.765	1.34	1.22	1.02	1.4489999999999998	0.014615855557033737	4.044803653557934	37241	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.42	1.5	1.4	1.4251999999999998	-0.8188701662563316	4.0449343665940205	37241	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	2.992	1.432	1.175	1.46	1.35	1.36	1.3554	1.3828764411905818	4.048473373079971	754807	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	2.84	1.064	1.015	2.82	1.05	1.02	1.3938	-1.4514058582097178	4.308397279027993	754807	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.3119999999999998	1.052	1.15	1.04	1.03	1.0	1.0544	1.320253823791074	4.0447809809853705	754807	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.9040000000000001	1.765	1.3333333333333333	1.22	1.02	1.4484666666666666	0.6196735545144425	4.044803653557932	754807	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8186001545675858	4.044934374968878	754807	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	3.136	1.16	1.355	1.5666666666666669	1.86	1.0	1.3883333333333332	1.161565580388887	4.050484229663133	836446	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	3.36	3.236	3.335	3.3466666666666667	3.37	3.0	3.2575333333333334	-0.9679267419674484	5.0056777344291215	836446	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.4	1.0759999999999998	1.18	1.0266666666666666	1.02	1.0	1.060533333333333	0.8642981443533905	4.044786513469583	836446	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4040000000000001	1.9040000000000001	1.765	1.3333333333333333	1.22	1.02	1.4484666666666666	0.34368193941877506	4.044803653557929	836446	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8178874622876089	4.044934365300149	836446	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	3.072	1.12	1.44	1.4866666666666666	1.5	1.06	1.3213333333333337	1.002991439544696	4.04949466045015	560282	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	3.3	3.292	3.425	3.2266666666666666	3.32	3.22	3.296733333333333	1.1951569033960088	4.517475537643174	560282	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.34	1.08	1.175	1.0333333333333334	1.0	1.0	1.0576666666666663	1.600665526285402	4.044786270371195	560282	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.9	1.765	1.34	1.22	1.02	1.4489999999999998	0.1946938130003045	4.044803653557931	560282	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8177069833020327	4.044934383028623	560282	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	3.068	1.368	1.375	1.2133333333333334	1.57	1.08	1.3212666666666668	1.3564516481261963	4.048985289853642	885444	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	2.98	1.136	1.015	2.8466666666666667	1.07	1.08	1.429533333333333	0.6399202991719949	4.8495572818651285	885444	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.364	1.052	1.18	1.06	1.01	1.0	1.0604	0.5477593662027692	4.044796412604927	885444	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.9040000000000001	1.765	1.3333333333333333	1.22	1.02	1.4484666666666666	0.19762804585486254	4.044803653557927	885444	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8168778495995028	4.044934378002747	885444	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	3.1639999999999997	1.252	1.155	1.2666666666666666	1.38	1.02	1.2147333333333332	1.5809099023616688	4.0476196527742125	647269	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	3.464	3.3360000000000003	3.33	3.306666666666666	3.24	3.04	3.2505333333333333	-1.1932583657124027	5.07267563163139	647269	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.248	1.068	1.135	1.02	1.0	1.02	1.0486	0.9161694334898632	4.044785010651248	647269	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.9040000000000001	1.765	1.3333333333333333	1.22	1.02	1.4484666666666666	-0.28305368853915125	4.044803653557934	647269	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8174069496455181	4.0449343694746265	647269	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	3.04	1.524	1.29	1.346666666666667	1.48	1.04	1.3361333333333332	1.4397911059239266	4.047582341268862	346507	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	3.34	3.36	3.385	3.4066666666666667	3.29	3.02	3.292333333333333	1.6687906572602142	4.483811182925481	346507	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.308	1.068	1.15	1.0333333333333334	1.01	1.0	1.052266666666667	1.4408958485817165	4.044794635026963	346507	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.9040000000000001	1.765	1.3333333333333333	1.22	1.02	1.4484666666666666	-0.19773991191624687	4.044803653557932	346507	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8182782464373259	4.044934358990776	346507	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	3.108	1.4680000000000002	1.355	1.24	1.13	1.4	1.3186	1.6313203948355313	4.048219658992483	538378	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	2.84	1.104	1.01	2.8666666666666667	1.06	1.02	1.4121333333333332	-0.8903468907342775	4.292743211601373	538378	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.3519999999999999	1.064	1.19	1.0266666666666666	1.01	1.0	1.0581333333333334	1.6240149755229356	4.044781657900471	538378	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.9040000000000001	1.765	1.3333333333333333	1.22	1.02	1.4484666666666666	0.5291491503725577	4.044803653557931	538378	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8169549515932584	4.044934396002004	538378	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	3.056	1.324	1.19	1.4666666666666666	1.55	1.46	1.3981333333333337	1.5621999289847996	4.050692697180739	778692	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	2.92	1.088	1.025	2.6733333333333333	1.02	1.04	1.3692666666666666	1.8615725629953903	4.541997117858894	778692	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.3359999999999999	1.084	1.195	1.0466666666666666	1.0	1.0	1.0651333333333333	1.6188806137974765	4.0447813379434265	778692	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.9040000000000001	1.765	1.3333333333333333	1.22	1.02	1.4484666666666666	0.6196780710598216	4.044803653557934	778692	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8182580983120632	4.044934382458108	778692	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	3.1	1.2	1.385	1.7533333333333334	1.57	1.16	1.4136666666666666	1.33406982366245	4.048041938113052	733512	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	3.3560000000000003	3.32	3.28	3.3666666666666667	3.2	3.18	3.269333333333333	0.06379940187656054	5.1050309048280536	733512	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.3719999999999999	1.06	1.175	1.04	1.02	1.0	1.0590000000000002	1.6462646417639968	4.044783231407815	733512	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4040000000000001	1.9040000000000001	1.765	1.3333333333333333	1.22	1.02	1.4484666666666666	0.28303516826883424	4.044803653557927	733512	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8172564358098168	4.044934356832519	733512	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	3.048	1.672	1.02	1.9866666666666664	1.02	1.04	1.3477333333333332	0.3061775966551406	2.8398272996976472	454349	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
adage	2.456	1.0	1.0	2.453333333333333	1.08	1.0	1.3066666666666666	2.1170708168613013	3.636773331453675	454349	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
pca	1.36	1.024	1.08	1.0	1.0	1.0	1.0208	1.9945598180530104	2.836750882405299	454349	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
ica	1.264	1.44	1.2	1.2133333333333334	1.28	1.0	1.2266666666666666	-1.9220587838010188	2.8367416830566	454349	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
nmf	1.0	1.32	1.42	1.5733333333333333	1.5	1.36	1.4346666666666668	0.027669299733266043	2.836885329021536	454349	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
tybalt	2.8960000000000004	1.1840000000000002	1.01	1.0133333333333334	1.66	1.08	1.189466666666667	1.0212010398362497	2.8397410474392357	542033	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
adage	2.32	1.0	1.45	2.56	1.82	1.52	1.67	0.6730113387468601	3.1842155712323117	542033	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
pca	1.368	1.024	1.02	1.0266666666666666	1.0	1.0	1.014133333333333	2.0477991936381867	2.8367409282715963	542033	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
ica	1.264	1.432	1.2	1.2133333333333334	1.28	1.0	1.2250666666666663	1.6136386631749842	2.836741683056605	542033	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
nmf	1.0	1.32	1.42	1.5733333333333333	1.5	1.36	1.4346666666666668	0.02805431299255515	2.8368853851585443	542033	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
tybalt	2.728	1.16	1.42	1.0933333333333333	1.24	1.0	1.1826666666666663	0.5491855449425779	2.8393341506328267	306371	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
adage	2.8480000000000003	1.392	1.09	2.8666666666666667	1.22	1.2	1.5537333333333332	0.21611900264494688	3.658149621222268	306371	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
pca	1.1520000000000001	1.024	1.11	1.0133333333333334	1.0	1.0	1.0294666666666668	2.066205601189231	2.836738651712556	306371	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
ica	1.264	1.44	1.2	1.2133333333333334	1.28	1.0	1.2266666666666666	1.6287995224721674	2.836741683056605	306371	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
nmf	1.0	1.32	1.42	1.5733333333333333	1.5	1.36	1.4346666666666668	0.027464112951242837	2.8368853486157684	306371	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
tybalt	3.016	1.208	1.32	1.5333333333333334	1.58	1.0	1.3282666666666667	1.2283711118528873	2.840655402154292	635921	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
adage	3.344	3.2960000000000003	3.19	3.32	3.24	2.8	3.1692	0.7661189561405327	3.503146654052369	635921	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
pca	1.216	1.024	1.06	1.0	1.0	1.0	1.0168	2.062536118350857	2.8367405294174235	635921	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
ica	1.264	1.432	1.2	1.2133333333333334	1.28	1.0	1.2250666666666663	-1.6016789091838473	2.8367416830566032	635921	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
nmf	1.0	1.32	1.42	1.5733333333333333	1.5	1.36	1.4346666666666668	0.028364755277880262	2.8368853639664064	635921	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
tybalt	2.488	1.064	1.1	1.0933333333333333	1.96	1.0	1.2434666666666667	0.5582966639011366	2.838747115547519	542219	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
adage	2.016	1.0	1.02	1.2266666666666666	1.06	1.08	1.0773333333333333	1.38780607548836	3.0865473482467616	542219	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
pca	1.328	1.008	1.05	1.0266666666666666	1.0	1.0	1.0169333333333332	2.0239034091587227	2.8367528923499186	542219	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
ica	1.264	1.416	1.2	1.2133333333333334	1.28	1.0	1.2218666666666669	-1.5948111483673315	2.8367416830566063	542219	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
nmf	1.0	1.32	1.42	1.5733333333333333	1.5	1.36	1.4346666666666668	0.028636173405441893	2.836885359158285	542219	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
tybalt	2.992	1.3519999999999999	1.47	1.28	1.18	1.0	1.2564	1.0712300055763664	2.8391037886601453	38718	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
adage	3.2239999999999998	3.384	3.19	3.333333333333333	3.2	3.24	3.2694666666666663	-0.1837238987139927	3.4650977864701	38718	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
pca	1.128	1.016	1.08	1.0	1.0	1.0	1.0192	2.0246593641608164	2.8367522927847766	38718	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
ica	1.264	1.44	1.2	1.2133333333333334	1.28	1.0	1.2266666666666666	-1.719377955029458	2.836741683056605	38718	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
nmf	1.0	1.32	1.42	1.5733333333333333	1.5	1.36	1.4346666666666668	0.028342522566909344	2.8368853744116334	38718	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
tybalt	2.84	1.456	1.26	1.4533333333333334	1.02	1.0	1.237866666666667	0.6685408376107457	2.8398708633178633	549553	0.5	8000	500	data/simulation/sim_data_samplesize_8000_noise_0.5_genes_500.tsv
