genes	weight
ZNF114	-0.047280408442020416
SCN2B	-0.04743848368525505
KLK6	-0.0474826917052269
IGDCC3	-0.047498926520347595
AJAP1	-0.04759060963988304
SLC8A2	-0.047669388353824615
WNK4	-0.047833628952503204
VIPR2	-0.04790942743420601
COL17A1	-0.04812110215425491
CHST8	-0.04838809370994568
PTPRH	-0.048412807285785675
TEPP	-0.0485764741897583
ARSF	-0.04865105450153351
ALPPL2	-0.04866931214928627
DPP6	-0.04871995747089386
NR1H4	-0.0487544946372509
PRSS33	-0.04880562424659729
TMEM151A	-0.048811815679073334
KCND3	-0.04891417548060417
WNT7A	-0.04905838891863823
KIAA1644	-0.049071941524744034
ATCAY	-0.04930616915225983
CELF5	-0.049324359744787216
SLC22A11	-0.0493679940700531
ASPDH	-0.049677830189466476
MUC17	-0.05000672861933708
ZNF536	-0.05030684918165207
PSG4	-0.05078434944152832
CHRNA4	-0.05085593834519386
SPNS3	-0.05085718631744385
ODAM	-0.05086740106344223
KCNJ4	-0.0509619377553463
MAB21L2	-0.051041919738054276
SCGB2A2	-0.05112290382385254
RNASE7	-0.051144640892744064
MUC21	-0.051241565495729446
VSTM2A	-0.05168941244482994
FBXO2	-0.052119310945272446
SLC22A6	-0.052210479974746704
TNR	-0.05224655568599701
SLURP1	-0.05233423784375191
IRX1	-0.05244908109307289
LMTK3	-0.052505236119031906
GATA5	-0.05272360518574715
USH1G	-0.052867479622364044
NKAIN4	-0.05288573354482651
FLJ16779	-0.05288679152727127
HNF4A	-0.05311430245637894
SLC6A2	-0.05336185544729233
ALPI	-0.05350300297141075
MAG	-0.0537186823785305
APOC3	-0.05376778170466423
CASP14	-0.053833089768886566
PTCHD2	-0.05385103076696396
SEZ6L	-0.05390855297446251
CYP4F2	-0.05391706898808479
RASGEF1C	-0.053918853402137756
HHATL	-0.054105862975120544
GLTPD2	-0.05412011221051216
F2	-0.054265107959508896
ANKFN1	-0.05430295690894127
ZFR2	-0.055125340819358826
NRG2	-0.055202726274728775
ADAMTSL5	-0.0552375502884388
EPS8L3	-0.05550456792116165
KNG1	-0.05569744110107422
SLC39A2	-0.05576157197356224
LOC554202	-0.05597730353474617
CLIC3	-0.05616851896047592
LGALS9B	-0.05656673386693001
C11orf86	-0.05740852653980255
TMEM82	-0.05780898779630661
KCNB1	-0.05792751535773277
SCRG1	-0.05798379331827164
HCN2	-0.05801157280802727
SORCS2	-0.05843014642596245
CHD5	-0.05851828306913376
REG3A	-0.058995455503463745
SLC26A3	-0.05915558338165283
SYT3	-0.05973345413804054
CLEC3A	-0.05988321825861931
SERPINA4	-0.06001999229192734
PRKCG	-0.06052045896649361
CDHR2	-0.060582730919122696
DBC1	-0.06102775037288666
KLK5	-0.061589598655700684
NTSR1	-0.062098581343889236
GPR123	-0.062392838299274445
CNTN6	-0.0626424178481102
CDH16	-0.06264322251081467
HS3ST4	-0.0629795715212822
LGI3	-0.06324144452810287
FIBCD1	-0.0635480210185051
C1orf64	-0.0640384629368782
ELFN2	-0.0643957182765007
GPR12	-0.06512019038200378
SHANK1	-0.06573230773210526
CDH4	-0.06582635641098022
SSX1	-0.06737902760505676
MOGAT3	-0.06824859976768494
SULT2A1	-0.07043419033288956
RTBDN	-0.07046792656183243
EDN3	-0.0707971602678299
MOG	-0.07132044434547424
FAM25A	-0.07249321788549423
EEF1A2	-0.07306544482707977
TREH	-0.07358687371015549
TPSG1	-0.0756734162569046
C7orf52	-0.0762532651424408
LOC146336	-0.07782091200351715
TH	-0.07857830077409744
LHX1	-0.0835951641201973
KNDC1	-0.08391451835632324
GALNT9	-0.08658739179372787
EFNA2	-0.09398218989372253
KCNQ2	-0.09570962190628052
CACNG7	-0.0967351645231247
SSTR5	-0.10335122048854828
LOC100130238	-0.10622517019510269
